cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
34.875389,86.109383,40.601871,32.134789,8.887574
33.379452,87.486900,38.742779,30.434608,9.283335
38.892925,88.995399,38.971836,30.738478,3.978855
35.393559,86.075920,35.984131,28.359753,3.742505
34.092194,84.018745,38.517643,30.793434,5.305979
37.278488,84.571938,36.890148,29.428095,1.209541
34.664631,84.052528,37.506252,29.915071,4.099867
35.823101,84.573601,37.759655,30.126631,4.487138
36.121796,86.051781,37.772102,30.037540,4.385603
36.156200,86.769348,38.012272,30.211929,4.536722
34.302723,85.588684,38.046085,30.214928,4.772068
35.529167,86.443565,38.211655,30.336300,5.127281
36.649601,86.100578,38.291191,30.387959,6.695508
38.232487,87.028473,38.490578,30.552912,8.052222
39.021465,87.969315,38.512230,30.532379,9.353400
39.728310,87.899452,38.376453,30.382931,10.028150
40.422066,87.849037,38.081413,30.134029,9.669526
40.993568,87.801689,37.632935,29.794331,8.505623
40.688438,87.694611,37.186749,29.470779,7.101181
41.285725,87.379692,36.944923,29.335087,7.597156
44.423325,87.683678,37.205143,29.657938,10.749487
44.429340,89.377754,37.591984,30.020407,12.022065
29.777452,86.732697,37.810318,29.930716,6.412371
28.720268,84.067635,37.938904,30.097778,2.253643
42.571117,84.343376,37.776985,30.077213,7.808749
49.374123,87.169029,38.012486,30.350782,15.988337
44.726830,88.352432,38.464947,30.628153,18.930395
34.777874,86.208817,38.057632,30.190813,13.202687
37.287102,85.978409,38.029648,30.220892,9.050238
41.843044,88.097244,37.550472,29.808174,6.671093
39.699532,87.415558,37.727863,29.921402,6.723961
48.165527,88.875626,38.062340,30.186220,9.664927
48.486423,89.054375,38.054810,30.137587,12.829234
43.499298,87.131393,38.038002,30.145111,14.866171
45.282356,85.813156,37.855087,30.042654,17.780430
54.967010,92.422966,38.237175,30.443884,16.237171
64.059891,93.165718,36.657455,28.834967,10.572020
60.810654,92.487404,35.765930,27.784231,10.841710
46.605564,87.512245,36.049946,28.110302,13.402453
54.346588,85.335548,37.334648,29.420923,10.867306
73.316269,84.742805,39.110012,31.382126,10.829371
73.062729,87.868813,38.143009,30.367910,9.191240
63.585312,85.206215,38.166309,30.307926,9.893665
57.126118,89.445343,37.053799,29.224804,13.634009
54.057289,88.613152,36.530750,28.684631,11.306002
62.316872,90.059883,36.521748,28.728287,12.944668
53.003544,88.007507,36.863281,28.868927,9.396452
54.005642,88.533180,37.321949,29.314432,11.635343
56.485664,88.704140,37.558136,29.579042,12.181830
55.741779,87.680405,37.427460,29.436537,13.965747
54.040665,86.982208,37.854637,29.797100,15.802008
54.505798,86.374763,38.365135,30.227827,16.765388
54.190224,85.826347,38.277645,30.224709,15.340703
51.598186,85.525330,38.300228,30.438522,13.481894
46.746094,85.486526,38.448345,30.699587,11.899285
41.733608,86.084320,38.248825,30.504482,10.170977
47.018711,86.428177,38.013252,30.268774,9.717377
55.357525,87.030708,37.648540,29.909863,9.718140
56.039982,87.248627,37.603127,29.812435,10.575704
49.938427,86.791763,37.998371,30.121561,10.878805
48.011982,85.517021,38.147011,30.232777,11.491648
53.431469,84.948883,38.068172,30.180918,14.002959
58.040211,85.299385,38.044544,30.254189,16.098667
53.826443,84.925209,38.277401,30.520758,13.765233
47.269905,84.893486,38.087231,30.369318,9.681165
48.443794,85.908844,38.229538,30.555988,9.458006
50.740688,86.638542,38.091667,30.440077,7.929432
54.544559,86.137680,38.315147,30.619238,7.178519
56.088230,86.301559,38.293362,30.571815,6.811695
52.754826,84.981934,38.480534,30.610632,8.097462
49.883545,83.773865,38.581966,30.548954,9.652464
51.250111,83.149765,38.655441,30.469090,12.429051
53.653275,83.539528,38.360161,30.070158,13.909366
54.983303,84.176811,38.103115,29.753563,15.649005
48.586864,83.801865,37.971474,29.694345,13.313686
44.150681,83.048775,38.377613,30.168461,9.501290
52.337925,84.266319,38.656193,30.330616,9.545742
61.307896,86.125244,38.474655,30.020039,11.785070
58.686726,86.223839,38.335533,29.839350,12.224972
53.050739,85.376320,38.227581,29.798925,12.822870
49.175396,85.292976,38.206020,29.881306,12.641969
55.285011,85.096390,38.412251,30.161942,16.625341
50.625469,85.918861,38.280190,30.145746,16.002466
45.687931,86.780121,38.692703,30.597900,11.354069
49.070137,85.711014,38.337543,30.282200,7.320654
57.406982,86.614754,38.308800,30.268904,11.095394
58.709137,86.703430,38.430069,30.371626,12.549069
54.884663,85.919556,38.760834,30.652826,11.414708
56.162697,85.093872,38.766422,30.644840,11.049900
58.997158,85.504807,38.367245,30.311985,13.094753
57.982983,86.057816,37.864922,29.921522,13.066926
53.316284,86.766624,37.635586,29.839014,10.534488
48.542290,86.910583,37.590218,29.886080,7.951324
45.905819,86.460396,37.581333,29.914217,6.468159
47.701660,86.056038,37.639641,29.990570,5.760197
48.416004,85.001953,38.051941,30.368517,4.964711
47.759262,84.573631,38.480957,30.727678,3.969031
49.950314,84.940056,39.047024,31.081360,4.963923
49.799072,85.515991,38.703987,30.597321,7.043115
47.717117,85.259369,38.427299,30.201561,11.932869
58.407043,87.804947,38.430679,30.075556,21.171778
60.095219,87.854111,38.778706,30.383957,15.530277
51.203548,85.574760,38.652714,30.693058,3.317111
45.131897,86.113297,38.745468,30.865232,5.253544
54.485226,86.217407,39.542084,31.530201,14.054680
48.172997,86.474464,38.840256,30.767550,10.046143
42.855389,87.472504,38.848923,30.745729,5.959909
48.534134,87.699661,38.160103,30.277592,7.470746
45.609726,85.223366,38.058167,30.299356,9.807994
53.708214,88.011414,38.609798,31.068878,11.529792
40.638653,84.877968,38.389408,30.576359,8.414449
42.731426,85.172836,38.009613,30.259146,8.717066
49.465446,85.709541,37.241650,29.826893,11.223433
25.248760,86.563004,37.197166,29.251513,2.313743
36.043228,85.627876,37.455700,29.831533,4.186388
57.958813,90.526291,38.104652,30.640455,7.000248
43.051041,85.936310,38.255058,30.525166,5.734527
39.695801,86.584091,38.700336,30.746134,4.905885
48.799782,89.024841,38.561359,30.633726,6.366645
41.449982,87.071182,38.523067,30.392626,5.777521
43.798523,87.539810,38.820484,30.591379,10.012619
56.941662,90.530479,38.775848,30.667088,15.566172
37.764935,87.598663,38.505081,30.366318,8.621228
32.073597,86.167046,38.501125,30.358824,6.147535
50.941608,89.900352,38.631950,30.676771,10.978492
49.862610,89.545319,38.194874,30.213291,6.564907
34.269562,86.241264,38.577854,30.322577,3.109169
51.897625,88.000099,38.732121,30.565439,9.155111
50.628666,87.431686,38.497845,30.347267,8.814165
37.982529,84.676361,38.812420,30.551233,7.668270
46.716213,86.585335,38.591553,30.403728,12.119040
41.644310,87.090393,37.884270,29.727592,10.360939
34.384281,85.595215,37.821468,29.588387,7.907016
43.750721,87.107376,37.847973,29.779524,12.022674
39.466896,85.423553,38.671799,30.527815,10.960591
34.564434,83.820061,38.661987,30.476713,15.335695
59.451916,89.377144,39.520802,31.289431,26.840899
53.575031,87.550209,38.596664,30.399166,9.032772
52.203861,86.434807,39.578533,31.170773,13.649561
