cpu_usage,assigned_mem
6691422.500000,2036506.875000
6771278.500000,2026394.250000
6856966.500000,2008624.250000
6872123.500000,2030378.125000
6930448.500000,2017277.000000
6954595.500000,2010869.875000
6930773.500000,2015932.750000
7154700.500000,2016324.250000
6926704.000000,2000192.625000
6856872.000000,2021178.875000
6952158.500000,2016006.000000
6909814.000000,2025108.250000
6829493.000000,2027318.000000
7085162.000000,2043405.625000
7068195.500000,2026398.500000
6977725.500000,2051057.625000
7088652.500000,2040746.625000
7051888.500000,2040192.125000
7045291.000000,2049433.625000
7014546.500000,2045977.750000
7182747.000000,2034095.125000
7063257.500000,2045999.000000
7101962.000000,2035298.875000
7036743.500000,2021853.000000
6811878.000000,2039626.125000
6793187.000000,2055431.125000
6824836.000000,2028824.750000
6674259.000000,2043103.750000
6777084.500000,2037070.250000
6794400.500000,2041039.500000
6778246.000000,2036864.375000
6885998.000000,2048299.625000
6968957.500000,2038654.875000
6864552.500000,2051633.500000
6849940.000000,2045388.750000
6775885.500000,2039956.500000
6696957.500000,2040267.875000
6850622.500000,2055849.375000
6856778.000000,2031419.250000
6799229.500000,2044755.250000
6824890.000000,2038336.250000
6898758.000000,2038475.750000
6894455.000000,2034910.250000
7004690.000000,2047408.875000
7149166.000000,2037509.625000
7168821.500000,2051190.250000
7255935.500000,2051134.875000
7115869.500000,2043062.250000
7137292.500000,2039607.125000
7225102.500000,2061807.375000
7162422.000000,2032983.125000
7105178.500000,2038715.125000
7058478.500000,2040953.125000
7095288.000000,2038064.750000
6992517.500000,2036029.625000
7046880.000000,2040983.125000
6934873.000000,2034808.125000
6850302.000000,2037569.750000
6917000.000000,2032252.125000
6929321.500000,2034770.500000
6978403.500000,2033479.625000
7103791.000000,2044799.250000
7074136.500000,2030030.125000
7041280.000000,2035083.750000
7017760.000000,2039820.750000
7071802.000000,2032600.250000
7023466.000000,2038383.000000
7250169.500000,2037232.125000
7150623.000000,2036551.375000
7074392.000000,2035782.750000
7076536.500000,2038416.000000
6792288.500000,2035799.500000
6797471.500000,2041115.375000
7065521.000000,2049745.375000
7035476.500000,2027760.625000
6778111.000000,2036144.125000
6822374.000000,2030743.375000
6818665.000000,2026278.375000
6703171.000000,2030465.375000
6751086.000000,2033000.500000
6678597.500000,2025369.875000
6678862.000000,2034266.875000
6768539.000000,2022258.125000
6677048.500000,2023954.875000
6587229.000000,2029078.375000
6858994.000000,2034304.250000
6796746.500000,2027385.875000
6771807.000000,2034961.500000
6805790.500000,2030617.000000
6732081.000000,2024720.750000
6647143.500000,2026981.625000
6771113.000000,2023653.875000
6628193.000000,2021650.875000
6674952.500000,2027773.000000
6647511.000000,2026226.500000
6686143.500000,2024619.500000
6581872.500000,2029275.875000
6738487.500000,2030681.875000
