cpu_util_percent,mem_util_percent,assigned_mem_percent,cycles_per_instruction
45.444393,33.701183,58.726513,157.976944
40.336136,32.463505,57.685123,162.142014
41.898075,31.954704,57.425415,161.704376
42.022896,32.999008,58.488968,160.912521
41.815605,32.603687,57.638828,159.653946
42.420273,32.134941,57.721092,157.947418
43.517075,32.725365,57.859341,159.592682
43.509254,33.100578,57.858387,161.353668
43.094524,33.008942,57.751732,162.533936
42.181599,32.739662,57.808895,163.441299
40.510048,32.357971,57.791824,164.457687
38.186161,31.843668,57.629517,164.458862
36.407837,31.324911,57.471798,163.160507
39.269382,31.673597,58.210571,163.297638
43.488144,33.282650,59.419937,165.937317
41.929092,33.153404,60.294106,166.419388
41.222851,32.827820,60.703121,165.153152
42.782829,33.012550,61.212196,163.871277
44.141117,33.753136,61.588371,163.315109
44.669479,34.187847,61.545723,162.195663
45.023861,34.310764,61.842064,161.819916
45.370293,34.376308,62.563347,162.949677
45.556618,34.323170,63.108292,164.497711
45.753193,34.227524,63.295212,165.322693
45.774403,34.132401,63.296421,165.162216
47.193699,34.369259,63.590199,165.213913
46.021671,34.344444,63.338017,164.102875
45.991695,33.842464,62.951221,162.979553
47.248440,34.178516,63.382904,163.180832
47.443325,34.442913,63.397778,162.874710
46.941959,34.252708,63.122181,162.377304
47.069992,34.207706,63.202309,162.166229
47.653553,34.484230,63.370468,162.105408
47.973598,34.618324,63.592655,161.883438
47.742905,34.482121,63.562607,160.771088
47.634895,34.766399,63.410244,159.494278
48.736069,35.657166,63.917633,159.044556
48.822342,35.711487,64.409393,159.797333
48.814705,33.490311,61.944527,156.522736
44.087074,33.347816,61.020477,155.306549
46.364937,35.325516,62.805393,155.602966
47.721478,34.465282,63.451500,153.479141
45.064178,34.611404,62.762348,154.437103
48.090874,36.470615,62.505016,157.910263
54.206673,38.315468,63.383533,161.199326
53.230118,36.525940,61.087551,165.497787
51.308361,34.860859,58.450649,166.514908
49.230579,32.800396,57.317299,166.416794
47.083763,33.364044,55.591709,161.888367
47.626957,33.175888,56.062988,160.874878
47.222404,33.265144,56.495129,161.004913
46.526737,32.979126,56.476295,161.690536
45.302143,32.824806,56.371304,162.182526
45.600368,33.050285,56.161716,162.765335
45.505692,33.108940,55.923325,163.054733
46.074448,33.274307,55.739727,163.057449
46.207928,33.345707,55.544411,162.986023
46.248669,33.403717,55.258858,162.789795
46.057026,33.327572,55.094574,162.552856
46.395432,33.432304,54.932747,162.662247
46.019138,33.350338,54.840801,162.463440
45.937366,33.334335,54.695637,162.391983
45.734383,33.218987,54.547478,162.458191
45.415741,33.116974,54.331455,162.808182
45.461288,32.981556,54.085953,164.097321
46.009235,32.882507,53.798965,166.738144
46.048615,32.766994,53.690731,170.116852
44.287884,32.449951,54.439228,172.211502
45.787853,32.333366,55.087013,173.368118
48.161819,32.528942,54.650444,173.060211
47.561432,32.467300,54.162479,169.362244
45.917419,32.596451,54.339619,167.448715
45.516190,32.941738,54.591385,167.473007
45.005123,32.886978,54.642662,168.940933
45.883892,32.404652,54.360954,171.047379
47.393650,31.993349,54.510525,173.677902
48.310802,32.413128,54.884033,174.307495
47.434509,32.788422,54.835251,173.251907
46.402348,32.920334,54.914951,172.391693
46.694084,32.994259,55.389004,172.533707
47.282902,33.177956,55.695984,172.791183
47.149136,33.023678,55.823101,173.344101
47.236645,32.910530,55.928806,174.187469
47.664452,33.169098,56.153687,174.843201
47.458412,33.301006,56.105583,175.918152
47.542664,33.435326,56.345345,176.493713
47.395969,33.545807,56.270618,176.900833
47.211456,33.601196,55.995171,176.838608
47.238102,33.354465,55.972954,177.255981
47.461227,33.278259,56.311008,178.059479
47.535873,33.300083,56.570774,178.839859
47.221649,33.040066,56.429840,178.905502
47.965652,33.238033,56.424129,178.538696
47.262989,33.441929,56.514374,179.105484
47.154083,33.508038,56.487701,179.138123
46.917816,33.350197,56.551979,179.256195
46.946072,33.436020,56.602802,178.871628
46.753258,33.272797,56.643948,178.637955
46.506657,33.067032,56.716862,179.277985
46.673309,32.580509,56.834450,179.631622
46.770447,32.525593,57.193546,180.530472
47.030567,32.863064,57.087193,181.233948
46.250359,32.745079,56.550117,181.118607
44.988838,33.169270,56.617569,181.488617
45.937813,33.061771,57.313999,181.202820
46.386055,33.579937,57.050430,181.434723
45.527481,32.852779,56.953213,180.295380
45.356487,33.445396,57.462982,181.180878
44.972065,33.077187,57.442093,181.137817
44.774734,32.908348,56.904106,181.090088
45.539791,32.962723,56.769878,179.660324
45.755867,33.231934,57.129791,179.413818
45.942146,33.526440,57.070160,179.264801
45.466175,33.393204,57.481831,179.359589
44.687553,33.368847,57.728394,180.920532
45.649525,33.677074,57.704407,182.277222
47.862331,33.509056,57.781227,181.792999
48.870346,33.573826,57.877834,181.663239
47.457619,33.624241,57.913780,183.838181
48.084946,35.286480,57.731903,183.653488
48.855068,35.067593,58.127155,183.278702
47.773029,33.555477,58.022331,182.437973
45.035625,34.780586,56.678780,182.402405
39.766422,32.095886,56.624302,178.943756
39.760937,33.784996,57.689671,172.537796
41.652500,35.514450,58.241703,169.224655
41.550285,35.149979,58.317898,171.676819
39.778496,33.806465,59.167328,171.018295
38.271362,33.561466,60.060303,168.154877
37.161068,33.553642,60.149937,165.928665
37.456776,33.047646,60.547001,164.129807
37.659775,32.868538,61.162262,164.478546
38.149994,32.990452,61.508892,164.821838
38.830750,33.075138,62.181118,165.557251
38.979321,34.087669,63.011395,165.944595
39.620716,35.205414,63.591377,164.785736
40.062782,35.203484,65.085518,165.334152
41.112499,37.359413,66.970695,168.800339
45.210056,38.072922,65.185890,167.031769
44.725960,35.322342,62.331360,165.900803
41.851566,30.602505,53.825119,145.774277
46.064262,33.819267,56.410645,148.930298
47.507156,33.614037,58.911816,150.409485
54.840759,36.376842,62.463215,155.068588
51.506683,36.789902,61.701786,159.629257
49.268234,37.063980,59.984081,159.148849
50.187294,36.690784,60.272552,159.303680
51.629021,36.474834,60.179844,162.449188
49.959785,35.757610,60.209335,162.483856
49.467182,35.307373,60.596081,162.182648
50.111843,35.078587,60.789162,162.979980
50.913708,34.631145,60.849945,162.991623
51.091938,34.559349,61.058308,161.943375
50.495502,34.284725,61.602425,162.365265
49.688927,34.352333,62.075367,162.867188
48.174038,33.840084,62.135647,164.448090
47.100651,31.798492,61.856495,165.109085
43.628517,30.678093,62.398262,164.527222
48.198807,31.843889,64.062607,166.538956
51.248802,34.310642,63.800060,165.998245
45.595764,31.474947,63.540218,165.362350
45.433903,31.281683,63.778625,163.407059
48.045364,32.535236,62.897949,164.725067
48.768318,34.213188,63.353451,163.879120
49.316479,35.244160,64.343475,162.664352
50.427727,35.726292,64.273987,163.252914
51.689304,35.809723,63.710911,163.702652
52.162739,35.715862,63.575539,163.335587
51.937309,35.662842,63.633778,163.429977
51.218681,35.642754,63.391048,163.388474
50.768902,35.854385,63.732067,163.082138
50.736996,35.939400,64.744217,164.509842
48.376888,35.054287,64.712730,165.460281
46.909309,34.648151,64.068848,163.527451
47.739700,33.421860,63.467846,164.158157
45.817970,32.159264,62.692337,162.320572
48.895290,31.415648,66.189461,162.218826
53.368813,34.357430,65.555374,161.740341
50.123772,34.517124,63.922508,163.094467
44.369694,31.321375,63.074501,160.894775
47.665962,32.284874,63.989952,162.596115
48.723457,33.190445,62.785023,165.183365
46.995739,33.665142,63.089069,163.270660
48.311779,35.825951,64.651375,161.546844
51.123356,37.690765,65.406631,161.402679
51.384838,37.571049,65.192070,161.355789
51.728020,37.603580,65.198586,161.759460
51.705894,37.660492,65.083458,163.053070
51.700340,37.964951,64.628593,163.241898
52.011841,38.036381,64.803116,163.004761
50.454582,37.629208,65.259384,163.450836
47.311790,36.609997,65.270424,163.707748
46.185089,35.407879,64.770988,161.405518
47.326645,34.591316,63.738430,161.503830
46.170162,33.285599,62.203171,159.993454
47.213333,32.686535,62.819508,159.144135
54.175152,36.486702,62.898426,156.576248
54.548203,36.737312,61.453377,159.485687
45.623146,30.886333,60.176327,161.795670
46.646008,31.463625,60.208942,163.851868
45.212009,31.052513,60.333622,168.842804
45.311237,31.354343,61.505386,170.993134
45.079880,31.073780,61.720982,173.194000
47.764599,32.600681,60.940468,173.302567
47.822762,32.302723,60.421116,177.195602
47.597080,32.069752,59.358265,179.945053
46.895088,32.164223,58.732754,180.259430
46.561802,31.971512,58.457699,179.528244
46.327202,32.024044,58.072010,178.058792
46.308395,32.495876,57.209053,175.233459
44.916351,32.476742,57.808365,172.233154
44.151772,33.359722,58.949497,173.508865
43.795845,32.095810,60.717506,172.299606
42.864204,30.589455,60.528900,170.264908
44.847637,31.060709,60.674347,170.194305
50.810299,31.890289,60.936966,168.373306
