cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
36.119465,84.873459,39.992081,31.683586,10.304932
28.831028,87.954971,39.828674,31.374214,7.906468
35.808266,91.545349,40.138981,31.636799,4.084290
36.768425,87.815865,38.325413,30.276381,4.372475
31.828539,90.384499,40.077194,31.940863,5.809302
37.161694,90.897728,39.390076,31.280991,7.190434
36.807552,90.802238,39.037785,30.967562,7.658681
34.971020,89.617210,39.269791,31.267834,6.486955
36.896481,89.088974,39.273972,31.324986,5.933004
37.180271,89.719894,39.315506,31.377365,5.652986
37.146511,87.938255,39.373360,31.454401,7.071025
36.775375,88.901802,39.249222,31.325674,7.306302
35.389194,89.082802,39.466915,31.518152,8.195386
34.009247,89.745941,39.339115,31.374929,7.440737
31.325325,88.526527,39.262474,31.307846,6.359877
32.206261,88.930107,39.180676,31.257252,5.741526
32.512863,88.909370,39.182896,31.273899,5.901096
32.781315,89.612801,39.228485,31.307575,5.977736
32.400845,89.531685,39.227058,31.286476,5.862590
33.463264,89.762352,39.192265,31.227842,5.715227
34.319191,89.558731,39.232044,31.238506,6.409943
34.053448,90.073952,39.246784,31.202223,6.347619
32.316193,89.852356,39.306965,31.232073,5.901713
31.414368,89.729202,39.240719,31.160658,5.107275
30.982874,89.749626,39.204350,31.125988,4.735219
30.974165,90.070099,39.193825,31.117369,4.712390
30.864960,90.380241,39.223061,31.139723,4.840422
30.125645,89.708565,39.268505,31.183638,4.866627
30.224712,89.593353,39.186184,31.093355,4.423853
30.884151,89.285255,39.151058,31.063879,4.631326
32.042408,89.534492,39.113937,31.029778,4.989041
32.705051,89.509315,39.214142,31.139984,5.609642
32.700817,89.643227,39.289909,31.219618,6.047305
32.093811,89.768883,39.304249,31.245501,6.522369
32.030823,90.268181,39.298748,31.256449,6.576549
30.993189,90.438019,39.269520,31.240788,6.032431
30.308216,90.683426,39.285477,31.266321,5.858143
29.952324,91.438263,39.298061,31.266575,5.428781
28.562826,91.536308,39.359951,31.307219,5.196378
28.000137,91.878075,39.351555,31.264961,4.679285
27.925179,90.769852,39.377533,31.311525,4.940456
26.442074,87.900742,39.495239,31.412523,4.786966
30.000488,90.750107,39.566410,31.447721,3.288568
25.002977,90.310913,39.094055,30.849977,3.506455
28.695915,89.964622,39.996555,31.790970,4.597438
29.513025,89.343307,39.606609,31.351341,6.032280
32.711910,90.662392,39.566692,31.306013,7.309619
34.343418,91.188988,39.565750,31.303905,5.985980
35.024826,89.451981,39.565838,31.317972,4.818543
40.480659,89.314018,39.530830,31.275028,4.462741
43.002277,89.525467,39.414547,31.162645,5.070997
35.072601,88.381805,39.559250,31.305311,3.916898
33.775288,88.354523,39.505299,31.277233,2.935735
33.904270,87.929718,39.361404,31.179186,2.491067
30.707035,88.319061,39.217735,31.088652,2.204794
31.285084,87.286644,39.167603,31.024370,3.319741
35.561150,88.486748,39.000847,30.823151,4.714756
34.337410,88.371971,39.187740,30.992096,5.291922
29.573280,87.588554,38.954113,30.790188,3.736506
31.333086,86.874031,38.854969,30.688477,4.362364
35.446487,86.408897,38.860443,30.688759,5.983197
35.728615,85.955864,39.211479,31.027601,6.831676
33.505444,86.810211,39.170094,31.025593,5.702946
35.169270,87.192696,39.152973,31.030777,5.561636
38.647816,87.202263,39.421322,31.273903,6.817669
38.791214,85.483887,39.480865,31.343784,7.847740
39.775990,85.482208,39.629696,31.506374,7.812748
31.495934,84.732498,39.548508,31.505608,5.511447
31.355713,85.832573,39.232758,31.186573,5.226820
33.260441,84.681465,39.038761,30.968044,5.069396
31.235874,83.783455,39.346333,31.187262,4.383098
36.830933,84.906349,39.755486,31.523487,5.709396
43.639172,87.164963,39.682228,31.405575,8.216362
40.558830,87.464417,39.748341,31.406187,8.403095
36.040714,86.162292,39.753010,31.385073,5.720810
36.508629,85.841919,39.426254,31.108070,4.511245
36.330822,86.457390,39.342648,31.086794,4.530259
32.378345,85.761261,39.228806,31.031101,4.132717
29.631607,84.834183,38.994404,30.787237,4.676958
30.764637,85.511848,38.975498,30.737326,6.252768
29.297247,85.989281,39.122330,30.840174,6.771273
31.133728,86.855270,39.439850,31.084850,7.963689
39.192570,89.089081,39.909420,31.415859,11.400915
42.681026,90.619827,40.211273,31.640041,14.005251
37.174999,89.021683,40.289963,31.746750,11.956991
32.351143,87.143044,39.838970,31.331066,8.585709
40.814766,89.039078,39.607937,31.091534,8.305046
47.104671,91.325134,38.919262,30.549976,10.224623
41.610210,90.453781,38.344231,30.179535,9.687018
41.754684,90.400139,38.379364,30.321962,10.318576
39.760998,90.329376,39.078979,31.019016,8.713801
36.349686,88.379585,39.968960,31.744226,7.400933
47.680576,89.384003,39.461971,31.247162,12.152309
48.219185,89.385040,39.021008,30.833427,13.165901
42.864418,89.161087,39.065403,30.883535,13.796326
37.993156,89.467102,39.161583,31.045088,11.216743
38.034416,90.565140,39.901829,31.789062,6.386039
43.605991,89.845695,39.943050,31.859713,1.430937
42.404419,88.702072,40.413158,32.103172,7.697963
27.528318,85.977516,39.052658,30.505701,9.106479
28.304956,87.812187,39.942829,31.467922,10.099031
43.959236,87.805565,39.269115,30.962395,7.078537
51.037926,93.921288,41.872986,33.236778,10.862847
41.372532,88.232224,39.995167,31.272514,8.616021
32.612976,89.232864,40.587070,31.878717,7.921094
41.867214,89.281425,39.020493,30.556599,6.686539
41.551033,92.239830,41.431973,32.887413,6.145129
44.224125,90.285545,39.745396,31.426041,2.030735
39.947483,89.454239,39.862011,31.553619,2.979130
39.913368,89.844971,39.514877,31.249048,7.296430
45.566814,91.148972,39.337322,31.087254,12.782913
60.099525,92.669991,38.688179,30.597668,14.705454
56.857643,90.535950,38.871098,30.836054,13.485996
55.300846,89.953644,38.303890,30.144156,12.599806
52.615246,91.666031,38.250511,29.908710,11.308761
42.579712,90.247757,38.076565,29.519760,2.417951
59.862022,90.588760,39.011833,30.366304,3.871814
75.006874,92.788849,39.829716,31.006783,2.525995
74.031502,94.197960,39.856190,30.775454,7.644019
59.117744,90.169228,39.873924,30.689604,8.933733
55.056519,89.181313,40.334236,30.945683,11.993545
61.073399,90.346642,40.349743,30.940510,12.946355
59.167805,89.790627,40.329964,31.097622,10.966573
57.593544,88.866447,40.514454,31.388548,10.067833
58.932526,89.600456,40.214241,31.184996,10.713796
60.298721,89.438232,40.260872,31.275034,10.261475
59.834103,89.670258,40.028984,31.056856,10.268416
56.299061,88.847816,40.468136,31.519556,9.029221
54.456024,87.558540,40.716072,31.817505,9.408976
50.550144,86.908920,41.867188,32.925629,13.110013
43.678753,88.111252,41.152458,32.332100,11.380043
44.296978,87.660522,39.577820,30.989552,8.026837
48.900616,87.640068,40.281780,31.690060,11.165279
54.597290,88.960777,39.836483,31.401724,11.879881
49.165203,86.983505,39.757927,31.469196,7.536139
45.403343,86.484818,39.325829,31.115862,7.163484
50.332291,87.218582,39.728321,31.570601,9.592179
48.864353,86.203613,39.827168,31.683249,8.159713
47.867321,86.517685,40.579327,32.325634,9.243812
46.374805,86.738052,40.575474,32.302464,7.369519
45.724194,87.479538,40.710022,32.365494,6.769362
45.123920,87.349258,40.553020,32.189293,6.996642
45.406834,87.355469,40.488255,32.100319,8.497752
47.940590,87.844200,40.394516,31.998875,10.267702
52.770588,88.638611,40.332390,31.896456,12.494318
54.627026,88.747597,40.270691,31.777067,13.417608
51.065159,87.760818,40.467186,31.934776,12.223794
46.437214,86.742180,40.798313,32.236111,10.427580
44.679718,86.494576,41.040928,32.455379,10.214451
44.544121,86.438896,41.121376,32.532295,10.034158
43.710953,86.033195,41.223015,32.632320,9.106944
42.841389,85.429512,41.167820,32.575512,8.587268
43.894722,86.514931,41.111774,32.492477,9.733292
45.006229,87.664490,41.138531,32.501366,9.491508
