cpu_usage,assigned_mem
5698393.000000,1969001.500000
5532103.000000,1981680.500000
5806919.500000,1931118.250000
5847375.500000,1936405.000000
5750273.000000,1937756.375000
5723154.500000,1929124.750000
5700528.000000,1935178.875000
5766923.000000,1937235.875000
5756373.500000,1933668.500000
5592602.500000,1950758.250000
5940654.000000,1941107.000000
5767143.000000,1956979.375000
5722839.000000,1946489.750000
5732272.000000,1954396.250000
5741705.000000,1930096.500000
5571776.000000,1949212.125000
5670078.000000,1935390.625000
5596678.500000,1941612.125000
5568244.500000,1931508.625000
5628484.500000,1934032.875000
5621369.000000,1938443.000000
5466995.000000,1948849.750000
5733140.000000,1936496.500000
5532490.500000,1947300.500000
5431453.000000,1941778.625000
5496517.500000,1937193.000000
5436487.500000,1930021.375000
5322217.000000,1947121.250000
5442657.000000,1931773.875000
5350389.000000,1942436.875000
5240080.500000,1931827.125000
5553825.000000,1937453.000000
5402029.000000,1936280.125000
5315545.500000,1951490.625000
5338670.500000,1935243.125000
5336651.000000,1935524.375000
5311978.500000,1937243.625000
5796675.500000,1942366.125000
5538340.500000,1946251.250000
5415097.000000,1943391.000000
5433923.000000,1933092.125000
5386368.500000,1946491.125000
5434013.500000,1930717.625000
5587095.500000,1941163.625000
5459796.500000,1942887.000000
5397470.500000,1958227.625000
5522253.500000,1941528.375000
5461456.000000,1936754.875000
5391600.500000,1943559.875000
5748549.000000,1951103.500000
5619108.500000,1947104.875000
5443692.500000,1959596.500000
5531924.500000,1941073.750000
5447140.500000,1946899.375000
5446127.500000,1938472.875000
5559311.500000,1938635.375000
5376969.000000,1951442.750000
5331333.500000,1956047.000000
5377461.000000,1941750.500000
5381132.500000,1941167.875000
5351201.500000,1942741.750000
5719388.000000,1943552.625000
5512698.500000,1951326.750000
5502944.500000,1955046.625000
5508596.500000,1947645.250000
5519614.000000,1944040.875000
5502531.500000,1940720.250000
5647948.500000,1940595.125000
5497821.500000,1950378.750000
5531877.000000,1953835.375000
5510608.000000,1942461.500000
5516640.000000,1939879.500000
5473210.000000,1951930.750000
5821227.500000,1949905.500000
5699220.500000,1949072.750000
5658513.000000,1955050.250000
5836624.000000,1941523.250000
5851452.000000,1942219.500000
5695643.500000,1951550.750000
5674796.000000,1946255.000000
5504201.000000,1944475.125000
5569318.000000,1952441.375000
5558168.500000,1944955.625000
5564215.000000,1941188.125000
5481131.500000,1949415.750000
5749292.500000,1962460.250000
5547908.500000,1944153.375000
5614286.000000,1952332.500000
5615022.500000,1946611.750000
5654352.000000,1939159.250000
5549718.500000,1951570.500000
5595438.000000,1947354.375000
5468598.500000,1946961.250000
5514428.500000,1959057.750000
5503549.500000,1949129.875000
5524907.000000,1947639.250000
5471086.000000,1952204.500000
5749774.000000,1959154.750000
5541794.500000,1949037.125000
5557583.500000,1960117.500000
5607811.000000,1952383.375000
5629859.500000,1945700.375000
5618097.000000,1957883.500000
5746808.500000,1956695.250000
5549573.500000,1953129.125000
5567628.000000,1963595.250000
5545431.000000,1956155.625000
5535760.500000,1945263.500000
5504114.500000,1955810.500000
5700069.000000,1966114.250000
5535292.000000,1958970.250000
5535160.000000,1971953.375000
5610875.500000,1959048.375000
5692557.500000,1949435.000000
5613570.000000,1953470.000000
5698148.500000,1965582.000000
5542589.000000,1964478.375000
5585355.500000,1976979.750000
5588174.000000,1958876.750000
5591406.500000,1949866.250000
5600156.500000,1958979.875000
5837255.500000,1967174.500000
5658643.500000,1967172.375000
5622623.000000,1974065.500000
5647781.500000,1957044.500000
5722723.500000,1951743.000000
5655500.000000,1961239.000000
5731265.500000,1962248.625000
5573519.500000,1966006.500000
5630764.000000,1970699.625000
5640723.500000,1956250.375000
5649652.000000,1956983.750000
5577131.500000,1963637.500000
5896670.500000,1966007.250000
5683988.000000,1967295.250000
5636455.500000,1976364.750000
5685673.500000,1963151.625000
5755562.000000,1953546.250000
5704102.500000,1957052.875000
5761339.500000,1963112.000000
5640050.000000,1963723.125000
5667915.000000,1967111.125000
5613021.500000,1961151.500000
5649173.500000,1955055.875000
5594349.500000,1961683.500000
5849721.000000,1963751.250000
5676658.000000,1963537.625000
5679992.000000,1968080.750000
5699377.000000,1962004.625000
5746895.000000,1959170.750000
5661258.000000,1959950.500000
5804984.500000,1963891.500000
5682269.000000,1968045.250000
5659896.500000,1967941.500000
5645459.500000,1959113.500000
5661853.500000,1952660.000000
5581625.000000,1961413.250000
5848037.000000,1961282.500000
5688306.000000,1960841.750000
5672206.000000,1967726.000000
5709833.000000,1962203.625000
5742802.000000,1956939.875000
5644716.500000,1958987.250000
5699400.500000,1962867.500000
5607733.500000,1963746.500000
5603350.500000,1969748.375000
5595340.500000,1958775.750000
5631078.000000,1949349.625000
5611993.500000,1958328.125000
5844319.000000,1967559.125000
5696703.000000,1961279.000000
5717773.000000,1968941.625000
5742879.500000,1957548.250000
5771571.000000,1954936.250000
5722743.000000,1956361.375000
5780727.500000,1958668.000000
5658422.500000,1957337.000000
5713441.000000,1964201.000000
5708294.000000,1954052.125000
5678010.000000,1951457.375000
5626553.000000,1960806.625000
5793758.000000,1964679.875000
5630463.000000,1954809.125000
5702223.000000,1963743.500000
5707124.500000,1960738.625000
5750630.500000,1954360.875000
5674390.500000,1957759.250000
5709651.500000,1958924.875000
5612118.000000,1955155.875000
5605090.500000,1966421.125000
5592999.000000,1953617.875000
5618604.000000,1949639.250000
5587085.000000,1955745.000000
5782794.000000,1958589.375000
5640668.000000,1952386.875000
5631560.000000,1967017.375000
5681542.500000,1959186.250000
5698163.500000,1949891.375000
5724033.000000,1957414.875000
5829324.500000,1960209.375000
5653954.000000,1955745.750000
5652079.500000,1965192.750000
5661741.000000,1957921.750000
5635020.000000,1949523.375000
5610996.000000,1956893.000000
5772100.000000,1963212.500000
5641197.000000,1956740.000000
5606194.500000,1968709.375000
5644125.000000,1959331.250000
5689235.500000,1949077.250000
5638968.000000,1953446.625000
5707009.500000,1960591.500000
5597228.000000,1961940.125000
5609601.500000,1970701.625000
