cpu_util_percent,mem_util_percent,assigned_mem_percent,cycles_per_instruction
46.182899,36.982056,62.178440,157.018036
51.909576,38.956718,62.552364,159.115509
51.356869,38.357265,62.050144,159.892120
51.850529,38.453911,61.798920,159.932800
50.866428,38.031219,61.757763,160.844101
50.794842,38.175259,62.053036,160.838745
51.184914,38.431381,62.106480,160.845688
51.065254,38.173306,61.856453,161.167435
50.504330,37.862267,61.523777,160.796417
50.081074,37.517029,61.278046,160.365479
50.299904,37.511528,61.082882,159.885239
51.381443,37.776821,60.891384,159.496536
52.559338,38.103683,60.644318,158.881638
53.193237,38.133568,60.399055,157.884537
53.025719,37.742237,60.141701,156.711197
52.230362,37.024349,59.905384,155.738434
51.595730,36.338188,59.853481,155.351700
51.333424,35.818565,59.811005,155.877716
51.261517,35.489582,59.665287,156.983765
51.136158,35.313759,59.479458,157.817642
50.840763,35.104473,59.357941,158.273132
50.395176,34.780991,59.308475,158.707428
49.329990,34.072285,59.202690,159.642166
48.151001,33.784096,59.240738,160.592651
47.773869,34.712082,59.372021,160.825150
46.627159,34.328041,60.291023,161.169815
44.153538,32.590500,58.227264,155.698380
45.384758,31.658688,54.536545,152.744400
47.746262,33.181465,56.871872,160.803207
47.090179,32.961094,57.513058,159.966187
45.795795,33.515793,57.899063,160.588943
43.271732,33.685074,57.546112,159.461929
43.800282,32.739780,56.900475,156.645660
45.633614,33.220497,56.625629,157.049652
45.740955,33.609482,56.969173,158.286102
44.942871,33.632469,57.352768,158.449173
44.382256,33.422081,57.381184,158.023346
44.366486,33.144363,57.460926,157.686264
44.275753,33.174957,57.419239,158.233017
44.050976,33.171803,57.438210,158.834442
43.791542,33.141426,57.577103,159.680191
43.508972,33.274868,57.722233,161.040100
42.595173,33.329327,57.747002,162.601944
40.496777,32.904980,57.618763,163.033401
38.638912,32.308628,57.467770,161.773132
40.594120,32.166683,58.114227,162.488342
43.801533,32.834854,59.031311,165.607208
42.181908,33.210972,59.626930,164.736526
38.061291,32.712986,59.826607,163.861771
39.122559,32.675468,60.034420,163.751160
40.442013,32.957237,60.352119,162.162399
41.891312,33.340977,60.787579,160.697830
43.496571,33.920750,61.219372,160.811386
44.600388,34.489540,62.022697,161.682602
43.812721,34.367958,62.209141,160.912338
43.074917,33.826210,61.980743,159.689896
44.219173,33.931694,62.648746,161.355270
45.003761,34.261463,63.153793,163.134644
44.728420,34.060997,63.202629,163.598160
44.560421,33.730919,63.084167,163.468903
45.573727,33.830555,63.043697,163.550247
46.169212,34.001148,63.229038,163.879837
46.202026,33.952797,63.236038,163.466858
46.715836,33.978024,63.230042,162.832199
47.679333,34.149452,63.476578,162.578644
47.315605,34.096088,63.250782,161.482193
47.834106,34.231941,63.055210,160.338623
48.582867,34.745808,63.255527,159.221619
48.314941,35.442219,63.755562,158.745483
47.940941,35.737919,64.415283,160.524841
48.914978,33.655270,62.291618,157.119293
44.495720,33.005817,61.228153,155.611511
45.458885,34.932625,62.359943,155.256470
47.635468,34.232349,62.952518,153.742249
44.240368,34.308231,63.136837,154.250259
46.634518,35.615868,62.272900,157.530746
52.663177,37.842735,63.401184,160.627625
53.764141,37.051071,62.596653,164.390137
52.736633,35.225670,58.942162,165.947998
49.024883,33.494068,57.851448,167.205688
47.692986,32.811127,55.643990,162.687622
47.495716,33.125507,55.953197,161.570206
47.202686,33.415974,56.634125,160.864609
46.895187,32.971863,56.715729,161.690186
45.666382,32.874790,56.615608,162.181763
45.842007,32.979706,56.460369,162.730133
45.783333,33.086197,56.247334,163.114853
46.230640,33.221943,55.998276,163.086166
46.366291,33.281769,55.829834,162.914688
46.480598,33.361683,55.548931,162.733093
46.211727,33.266731,55.403305,162.413864
46.564884,33.371696,55.215946,162.534103
46.273792,33.323978,55.131699,162.314499
46.140079,33.303398,54.978378,162.182404
45.921951,33.220657,54.822739,162.154816
45.603928,33.107700,54.597134,162.329849
45.441162,32.966663,54.361759,163.126846
45.895977,32.838009,54.049721,165.140015
46.579582,32.769100,53.769627,168.223038
45.321255,32.491066,54.094795,170.818634
44.886784,32.178413,55.000771,171.972992
47.624382,32.223206,54.973846,172.479218
48.244175,32.346561,54.469185,170.164810
46.199169,32.531132,54.421726,167.461090
45.779827,32.837650,54.581314,166.621964
45.192543,32.885105,54.907909,168.148849
45.913826,32.742172,54.656647,169.699814
47.177471,32.116756,54.652138,172.560104
48.292625,32.292328,54.870121,173.757156
47.911907,32.634598,54.956562,172.974213
46.869953,32.867455,54.892632,171.798828
